STXS		 DD 		 DN 		 ND 		 NN 		 NU 		 UN 		 UU
100 		86460.02,	 	86199.33,	 	50279.04,	 	50643.00,	 	50244.25,	 	40326.19,	 	40156.08,	 
101 		8641.23,	 	8458.84,	 	7155.85,	 	6945.00,	 	6770.81,	 	5759.45,	 	5578.52,	 
102 		2100.80,	 	2045.54,	 	1774.50,	 	1706.00,	 	1648.59,	 	1425.75,	 	1366.12,	 
103 		298.84,	 	291.20,	 	258.26,	 	247.00,	 	237.27,	 	208.90,	 	198.41,	 
104 		37.43,	 	36.34,	 	32.69,	 	31.00,	 	29.48,	 	26.36,	 	24.74,	 
105 		118155.49,	 	139054.38,	 	55387.01,	 	67231.00,	 	74399.33,	 	52310.32,	 	58811.20,	 
106 		292391.88,	 	299904.19,	 	188899.20,	 	200757.00,	 	208916.97,	 	166216.28,	 	174309.62,	 
107 		86479.88,	 	87627.44,	 	64561.94,	 	66458.00,	 	67897.75,	 	56622.25,	 	57937.41,	 
108 		66629.19,	 	67027.69,	 	52206.34,	 	52621.00,	 	52941.81,	 	44140.16,	 	44333.53,	 
109 		13494.50,	 	13359.56,	 	10638.84,	 	10493.00,	 	10371.06,	 	8600.94,	 	8468.03,	 
110 		18559.75,	 	18789.38,	 	13893.56,	 	14219.00,	 	14463.25,	 	12024.25,	 	12239.31,	 
111 		29182.38,	 	29254.00,	 	22988.56,	 	23014.00,	 	23027.06,	 	19152.66,	 	19114.91,	 
112 		17505.50,	 	17297.69,	 	13938.22,	 	13705.00,	 	13510.75,	 	11250.81,	 	11042.91,	 
113 		3496.81,	 	3505.25,	 	2733.78,	 	2743.00,	 	2748.31,	 	2295.41,	 	2295.31,	 
114 		6913.50,	 	6890.12,	 	5458.22,	 	5423.00,	 	5392.12,	 	4510.47,	 	4469.81,	 
115 		1478.25,	 	1460.31,	 	1139.44,	 	1126.00,	 	1114.44,	 	936.66,	 	924.97,	 
116 		2960.81,	 	2923.12,	 	2363.22,	 	2318.00,	 	2280.75,	 	1932.72,	 	1893.44,	 
