STXS		 DD 		 DN 		 ND 		 NN 		 NU 		 UN 		 UU
100 		0.59,	 	0.59,	 	1.01,	 	1.00,	 	1.01,	 	1.26,	 	1.26,	 
101 		0.80,	 	0.82,	 	0.97,	 	1.00,	 	1.03,	 	1.21,	 	1.24,	 
102 		0.81,	 	0.83,	 	0.96,	 	1.00,	 	1.03,	 	1.20,	 	1.25,	 
103 		0.83,	 	0.85,	 	0.96,	 	1.00,	 	1.04,	 	1.18,	 	1.24,	 
104 		0.83,	 	0.85,	 	0.95,	 	1.00,	 	1.05,	 	1.18,	 	1.25,	 
105 		0.57,	 	0.48,	 	1.21,	 	1.00,	 	0.90,	 	1.29,	 	1.14,	 
106 		0.69,	 	0.67,	 	1.06,	 	1.00,	 	0.96,	 	1.21,	 	1.15,	 
107 		0.77,	 	0.76,	 	1.03,	 	1.00,	 	0.98,	 	1.17,	 	1.15,	 
108 		0.79,	 	0.79,	 	1.01,	 	1.00,	 	0.99,	 	1.19,	 	1.19,	 
109 		0.78,	 	0.79,	 	0.99,	 	1.00,	 	1.01,	 	1.22,	 	1.24,	 
110 		0.77,	 	0.76,	 	1.02,	 	1.00,	 	0.98,	 	1.18,	 	1.16,	 
111 		0.79,	 	0.79,	 	1.00,	 	1.00,	 	1.00,	 	1.20,	 	1.20,	 
112 		0.78,	 	0.79,	 	0.98,	 	1.00,	 	1.01,	 	1.22,	 	1.24,	 
113 		0.78,	 	0.78,	 	1.00,	 	1.00,	 	1.00,	 	1.19,	 	1.20,	 
114 		0.78,	 	0.79,	 	0.99,	 	1.00,	 	1.01,	 	1.20,	 	1.21,	 
115 		0.76,	 	0.77,	 	0.99,	 	1.00,	 	1.01,	 	1.20,	 	1.22,	 
116 		0.78,	 	0.79,	 	0.98,	 	1.00,	 	1.02,	 	1.20,	 	1.22,	 
